Heel to Starboard	0,0	1,0	2,0	3,0	4,0	5,0	6,0	7,0	8,0	9,0	10,0	11,0	12,0	13,0	14,0	15,0	16,0	17,0	18,0	19,0	20,0	21,0	22,0	23,0	24,0	25,0	26,0	27,0	28,0	29,0	30,0	31,0	32,0	33,0	34,0	35,0	36,0	37,0	38,0	39,0	40,0	41,0	42,0	43,0	44,0	45,0	46,0	47,0	48,0	49,0	50,0	51,0	52,0	53,0	54,0	55,0	56,0	57,0	58,0	59,0	60,0	61,0	62,0	63,0	64,0	65,0	66,0	67,0	68,0	69,0	70,0	71,0	72,0	73,0	74,0	75,0	76,0	77,0	78,0	79,0	80,0	81,0	82,0	83,0	84,0	85,0	86,0	87,0	88,0	89,0	90,0	91,0	92,0	93,0	94,0	95,0	96,0	97,0	98,0	99,0	100,0	101,0	102,0	103,0	104,0	105,0	106,0	107,0	108,0	109,0	110,0	111,0	112,0	113,0	114,0	115,0	116,0	117,0	118,0	119,0	120,0	121,0	122,0	123,0	124,0	125,0	126,0	127,0	128,0	129,0	130,0	131,0	132,0	133,0	134,0	135,0	136,0	137,0	138,0	139,0	140,0	141,0	142,0	143,0	144,0	145,0	146,0	147,0	148,0	149,0	150,0	151,0	152,0	153,0	154,0	155,0	156,0	157,0	158,0	159,0	160,0	161,0	162,0	163,0	164,0	165,0	166,0	167,0	168,0	169,0	170,0	171,0	172,0	173,0	174,0	175,0	176,0	177,0	178,0	179,0	180,0deg																									
GZ m	0,000	0,011	0,023	0,034	0,045	0,057	0,069	0,080	0,092	0,104	0,116	0,129	0,141	0,154	0,167	0,181	0,195	0,209	0,223	0,238	0,254	0,270	0,286	0,299	0,311	0,320	0,328	0,334	0,339	0,342	0,345	0,346	0,347	0,347	0,346	0,344	0,342	0,339	0,335	0,331	0,326	0,321	0,315	0,308	0,301	0,293	0,285	0,276	0,266	0,256	0,246	0,235	0,223	0,211	0,199	0,186	0,172	0,158	0,144	0,130	0,115	0,099	0,084	0,068	0,051	0,035	0,018	0,001	-0,016	-0,033	-0,051	-0,068	-0,086	-0,104	-0,121	-0,139	-0,157	-0,175	-0,193	-0,210	-0,228	-0,245	-0,262	-0,279	-0,296	-0,313	-0,329	-0,345	-0,361	-0,376	-0,391	-0,406	-0,420	-0,434	-0,448	-0,461	-0,474	-0,487	-0,499	-0,511	-0,524	-0,536	-0,547	-0,559	-0,570	-0,581	-0,591	-0,601	-0,611	-0,620	-0,629	-0,637	-0,645	-0,652	-0,659	-0,665	-0,671	-0,676	-0,681	-0,686	-0,689	-0,693	-0,695	-0,697	-0,699	-0,699	-0,700	-0,699	-0,698	-0,696	-0,693	-0,689	-0,684	-0,678	-0,671	-0,664	-0,655	-0,645	-0,634	-0,622	-0,609	-0,595	-0,579	-0,563	-0,547	-0,529	-0,511	-0,493	-0,475	-0,457	-0,440	-0,422	-0,405	-0,387	-0,370	-0,353	-0,337	-0,320	-0,304	-0,288	-0,272	-0,256	-0,241	-0,226	-0,211	-0,197	-0,183	-0,169	-0,155	-0,141	-0,128	-0,114	-0,101	-0,088	-0,075	-0,063	-0,050	-0,038	-0,025	-0,012	0,000
Area under GZ curve from zero heel m.deg	0,0000	0,0057	0,0226	0,0510	0,0907	0,1419	0,2046	0,2790	0,3651	0,4632	0,5733	0,6957	0,8307	0,9783	1,1390	1,3129	1,5005	1,7021	1,9181	2,1490	2,3952	2,6572	2,9352	3,2279	3,5331	3,8486	4,1726	4,5035	4,8399	5,1805	5,5240	5,8696	6,2161	6,5629	6,9092	7,2540	7,5969	7,9372	8,2741	8,6073	8,9360	9,2595	9,5773	9,8888	10,1935	10,4905	10,7795	11,0599	11,3312	11,5927	11,8438	12,0842	12,3132	12,5305	12,7355	12,9278	13,1069	13,2723	13,4237	13,5606	13,6828	13,7898	13,8813	13,9570	14,0166	14,0598	14,0864	14,0962	14,0889	14,0644	14,0226	13,9632	13,8863	13,7916	13,6791	13,5488	13,4006	13,2346	13,0507	12,8491	12,6299	12,3932	12,1393	11,8683	11,5805	11,2761	10,9552	10,6182	10,2653	9,8968	9,5130	9,1144	8,7012	8,2739	7,8329	7,3786	6,9113	6,4311	5,9383	5,4331	4,9155	4,3859	3,8444	3,2914	2,7270	2,1517	1,5656	0,9692	0,3630	-0,2526	-0,8770	-1,5099	-2,1508	-2,7992	-3,4547	-4,1167	-4,7849	-5,4587	-6,1375	-6,8210	-7,5085	-8,1995	-8,8934	-9,5897	-10,2877	-10,9868	-11,6863	-12,3857	-13,0840	-13,7806	-14,4747	-15,1654	-15,8519	-16,5328	-17,2075	-17,8751	-18,5343	-19,1841	-19,8235	-20,4513	-21,0667	-21,6684	-22,2555	-22,8270	-23,3821	-23,9201	-24,4403	-24,9424	-25,4266	-25,8927	-26,3411	-26,7718	-27,1850	-27,5809	-27,9596	-28,3213	-28,6662	-28,9946	-29,3065	-29,6023	-29,8822	-30,1464	-30,3953	-30,6289	-30,8477	-31,0519	-31,2416	-31,4172	-31,5788	-31,7267	-31,8611	-31,9821	-32,0899	-32,1847	-32,2666	-32,3357	-32,3921	-32,4359	-32,4671	-32,4858	-32,4920
Displacement t	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500
Draft at FP m	5,417	5,417	5,417	5,416	5,415	5,414	5,412	5,411	5,409	5,411	5,408	5,405	5,402	5,404	5,400	5,396	5,397	5,392	5,391	5,386	5,385	5,379	5,377	5,373	5,370	5,369	5,369	5,367	5,370	5,366	5,368	5,369	5,370	5,371	5,372	5,374	5,375	5,376	5,377	5,378	5,379	5,381	5,381	5,382	5,384	5,386	5,387	5,387	5,389	5,392	5,394	5,397	5,399	5,401	5,404	5,408	5,411	5,416	5,420	5,425	5,430	5,436	5,442	5,448	5,456	5,464	5,474	5,485	5,497	5,511	5,526	5,544	5,565	5,589	5,616	5,649	5,690	5,737	5,796	5,871	5,969	6,095	6,261	6,479	6,782	7,217	7,882	9,067	11,283	18,227	n/a	9,569	2,625	0,313	-0,787	-1,457	-1,903	-2,225	-2,492	-2,663	-2,834	-2,947	-3,071	-3,156	-3,250	-3,317	-3,390	-3,455	-3,513	-3,565	-3,613	-3,657	-3,707	-3,745	-3,789	-3,822	-3,863	-3,893	-3,929	-3,957	-3,983	-4,017	-4,042	-4,067	-4,092	-4,116	-4,140	-4,156	-4,179	-4,190	-4,204	-4,217	-4,230	-4,241	-4,247	-4,253	-4,259	-4,263	-4,265	-4,267	-4,268	-4,269	-4,271	-4,273	-4,276	-4,279	-4,282	-4,284	-4,285	-4,285	-4,284	-4,282	-4,279	-4,275	-4,270	-4,265	-4,259	-4,253	-4,247	-4,241	-4,235	-4,229	-4,223	-4,217	-4,211	-4,205	-4,200	-4,195	-4,191	-4,186	-4,182	-4,179	-4,176	-4,173	-4,175	-4,168	-4,170	-4,165	-4,165	-4,166	-4,166
Draft at AP m	5,596	5,596	5,596	5,596	5,595	5,594	5,593	5,592	5,590	5,586	5,584	5,582	5,579	5,573	5,570	5,566	5,559	5,555	5,547	5,542	5,533	5,528	5,519	5,516	5,514	5,514	5,516	5,524	5,528	5,542	5,555	5,570	5,587	5,606	5,628	5,653	5,680	5,710	5,743	5,778	5,816	5,857	5,901	5,947	5,996	6,047	6,103	6,162	6,223	6,288	6,357	6,430	6,507	6,589	6,675	6,767	6,863	6,966	7,074	7,190	7,314	7,446	7,587	7,738	7,900	8,075	8,264	8,469	8,691	8,934	9,201	9,495	9,821	10,184	10,591	11,051	11,577	12,179	12,880	13,703	14,685	15,880	17,368	19,270	21,806	25,348	30,652	39,416	57,119	109,885	n/a	101,227	48,461	30,878	22,037	16,734	13,198	10,672	8,801	7,301	6,142	5,162	4,371	3,683	3,109	2,599	2,165	1,782	1,442	1,138	0,864	0,616	0,400	0,193	0,012	-0,164	-0,318	-0,470	-0,604	-0,737	-0,861	-0,971	-1,082	-1,187	-1,287	-1,381	-1,471	-1,564	-1,646	-1,737	-1,819	-1,900	-1,979	-2,056	-2,133	-2,209	-2,283	-2,357	-2,429	-2,499	-2,568	-2,634	-2,697	-2,758	-2,815	-2,870	-2,922	-2,971	-3,018	-3,063	-3,106	-3,148	-3,187	-3,225	-3,261	-3,296	-3,329	-3,360	-3,390	-3,418	-3,445	-3,470	-3,494	-3,516	-3,536	-3,556	-3,574	-3,590	-3,606	-3,620	-3,632	-3,644	-3,655	-3,663	-3,667	-3,678	-3,680	-3,688	-3,689	-3,689	-3,690
WL Length m	65,040	65,047	65,055	65,062	65,070	65,077	65,085	65,092	65,100	65,108	65,115	65,122	65,129	65,137	65,144	65,150	65,158	65,164	65,171	65,177	65,185	64,924	64,921	64,917	64,914	64,912	64,911	64,909	64,909	64,907	64,906	64,906	64,906	64,906	64,906	64,907	64,907	64,907	64,908	64,908	64,909	64,910	64,910	64,911	64,912	64,913	64,914	64,915	64,916	64,918	64,920	64,922	64,923	64,925	64,927	64,930	64,946	65,125	65,297	65,461	65,618	65,768	65,912	66,050	66,183	66,311	66,428	66,534	66,631	66,721	66,803	66,880	66,950	67,015	67,075	67,130	67,181	67,228	67,271	67,310	67,346	67,378	67,407	67,431	67,451	67,468	67,481	67,488	67,492	67,490	67,483	67,471	67,455	67,433	67,406	67,373	67,335	67,292	67,245	67,189	67,186	67,183	67,179	67,174	67,167	67,158	67,147	67,134	67,118	67,104	67,088	67,069	67,043	67,015	66,985	66,954	66,908	66,863	66,793	66,719	66,633	66,494	66,334	66,083	65,564	64,583	64,582	64,580	64,579	64,578	64,577	64,575	64,574	64,573	64,572	64,847	64,837	64,827	64,817	64,808	64,799	64,790	64,781	64,772	64,763	64,753	64,744	64,734	64,724	64,713	64,702	64,691	64,679	64,668	64,656	64,643	64,628	64,611	64,544	64,263	64,002	63,735	63,457	63,204	62,944	62,678	62,444	62,198	61,968	61,756	61,556	61,422	61,293	61,205	61,112	61,136	61,153	61,196	61,201	61,207	61,209
Beam max extents on WL m	11,003	11,004	11,009	11,018	11,030	11,045	11,063	11,085	11,111	11,140	11,172	11,209	11,249	11,292	11,340	11,391	11,446	11,505	11,569	11,637	11,709	11,786	11,743	11,552	11,379	11,226	11,087	10,960	10,844	10,744	10,650	10,564	10,485	10,414	10,346	10,282	10,219	10,159	10,099	10,041	9,983	9,924	9,866	9,806	9,746	9,685	9,623	9,561	9,497	9,432	9,366	9,297	9,228	9,159	9,088	9,016	8,945	8,874	8,802	8,733	8,661	8,593	8,524	8,458	8,395	8,334	8,276	8,221	8,168	8,116	8,068	8,021	7,977	7,936	7,898	7,862	7,828	7,797	7,769	7,743	7,741	7,877	8,005	8,133	8,261	8,392	8,528	8,661	8,816	8,965	9,127	9,302	9,489	9,684	9,748	9,716	9,628	9,538	9,448	9,371	9,293	9,228	9,161	9,105	9,049	9,001	8,952	8,905	8,861	8,821	8,782	8,745	8,707	8,674	8,639	8,613	8,583	8,563	8,616	8,698	8,783	8,873	8,967	9,066	9,170	9,279	9,392	9,512	9,636	9,767	9,904	10,048	10,198	10,353	10,514	10,680	10,853	11,032	11,216	11,404	11,593	11,784	11,976	12,170	12,270	12,258	12,241	12,220	12,194	12,165	12,132	12,095	12,056	12,013	11,968	11,920	11,870	11,819	11,766	11,712	11,658	11,602	11,547	11,492	11,439	11,387	11,338	11,292	11,249	11,209	11,172	11,140	11,111	11,085	11,063	11,045	11,030	11,018	11,009	11,004	11,003
Wetted Area m^2	1098,107	1098,128	1098,156	1098,106	1098,090	1098,070	1098,047	1098,020	1097,995	1098,028	1098,018	1098,021	1098,035	1098,134	1098,189	1098,272	1098,450	1098,595	1098,832	1099,035	1099,356	1099,936	1105,993	1113,942	1121,358	1128,327	1134,917	1141,158	1146,920	1152,433	1157,863	1163,025	1168,025	1172,779	1177,431	1182,086	1186,758	1190,931	1195,302	1199,429	1203,035	1207,063	1211,520	1214,243	1216,984	1220,634	1225,603	1227,688	1229,735	1232,243	1234,888	1238,104	1241,572	1243,438	1245,245	1247,008	1248,765	1250,609	1252,543	1254,458	1256,587	1258,350	1259,677	1260,933	1262,112	1263,217	1264,328	1265,426	1266,430	1267,394	1268,275	1269,131	1270,143	1270,941	1271,531	1272,019	1272,467	1271,604	1270,122	1267,894	1265,503	1263,700	1261,733	1260,599	1259,688	1258,846	1258,068	1257,442	1256,647	1255,936	1255,229	1254,510	1253,819	1253,162	1252,860	1252,884	1253,049	1253,098	1253,029	1253,019	1252,847	1252,526	1251,858	1251,904	1252,068	1251,072	1250,223	1249,057	1246,817	1246,502	1246,555	1245,954	1245,838	1245,839	1245,881	1246,129	1246,298	1246,001	1245,936	1246,014	1246,137	1245,909	1245,709	1245,741	1245,300	1246,882	1248,274	1249,751	1251,173	1252,393	1253,865	1254,880	1255,066	1258,664	1262,568	1263,554	1265,395	1269,058	1271,848	1274,760	1277,736	1280,568	1283,265	1285,815	1288,226	1290,527	1292,466	1294,052	1295,597	1297,105	1298,577	1300,016	1301,411	1302,653	1303,859	1305,040	1306,172	1307,404	1308,934	1310,390	1311,860	1313,299	1314,600	1315,961	1317,087	1317,904	1318,913	1320,161	1320,737	1321,381	1322,243	1323,629	1323,856	1324,164	1324,586	1324,808	1325,073	1325,231	1325,517	1325,609	1325,666
Waterpl. Area m^2	614,863	614,915	615,063	615,304	615,640	616,082	616,630	617,274	618,033	618,925	619,912	621,018	622,246	623,641	625,152	626,815	628,647	630,613	632,752	635,004	637,461	639,573	632,260	621,313	611,309	601,750	592,913	584,729	577,383	570,515	563,701	557,489	551,819	546,522	541,117	536,265	531,913	527,029	522,795	518,452	513,813	509,861	506,516	501,727	497,265	493,799	491,936	487,489	483,247	479,484	476,131	473,630	471,656	468,144	464,825	461,693	458,810	456,163	453,755	451,574	449,852	447,975	445,785	443,755	441,881	440,162	438,642	437,327	436,165	435,190	434,366	433,737	433,415	433,120	432,877	432,791	432,875	433,492	435,458	438,255	441,284	443,791	446,535	448,467	450,319	452,190	454,092	455,937	458,101	460,195	462,428	464,804	467,274	469,830	472,019	473,220	473,492	473,612	473,716	474,051	474,275	474,937	475,805	476,325	476,644	478,431	480,081	482,238	485,644	487,172	488,485	490,597	492,269	493,994	495,617	497,252	498,786	500,797	502,681	504,554	506,429	508,423	510,325	512,110	513,439	514,163	516,152	518,539	521,331	524,371	527,634	531,677	536,547	538,323	540,956	546,700	551,932	555,164	559,260	562,700	565,851	568,872	571,193	572,990	574,222	574,768	574,024	572,192	569,857	567,605	565,445	563,333	561,279	559,297	557,347	555,416	553,529	551,546	549,247	546,927	544,690	542,359	540,191	538,044	536,211	534,161	532,174	530,490	528,815	527,218	525,619	525,138	524,121	523,129	522,002	521,355	520,502	520,085	519,510	519,223	519,113
Prismatic coeff. (Cp)	0,644	0,644	0,644	0,644	0,644	0,644	0,644	0,645	0,645	0,645	0,645	0,645	0,645	0,646	0,646	0,646	0,647	0,647	0,648	0,648	0,649	0,652	0,653	0,654	0,655	0,656	0,657	0,658	0,659	0,661	0,662	0,663	0,665	0,667	0,668	0,670	0,672	0,674	0,676	0,678	0,680	0,682	0,684	0,686	0,688	0,690	0,692	0,694	0,696	0,698	0,700	0,702	0,704	0,707	0,709	0,710	0,712	0,712	0,712	0,712	0,712	0,712	0,712	0,712	0,713	0,713	0,713	0,714	0,714	0,714	0,715	0,715	0,716	0,717	0,717	0,718	0,719	0,719	0,720	0,721	0,722	0,722	0,723	0,724	0,725	0,726	0,727	0,728	0,729	0,730	0,731	0,732	0,733	0,734	0,736	0,737	0,738	0,740	0,741	0,743	0,744	0,745	0,745	0,747	0,747	0,748	0,749	0,750	0,751	0,752	0,753	0,754	0,755	0,756	0,757	0,758	0,760	0,761	0,763	0,764	0,766	0,769	0,772	0,776	0,783	0,796	0,797	0,798	0,800	0,801	0,803	0,805	0,807	0,809	0,811	0,810	0,812	0,814	0,817	0,819	0,822	0,825	0,827	0,830	0,832	0,835	0,838	0,840	0,843	0,846	0,849	0,852	0,855	0,858	0,861	0,864	0,866	0,869	0,872	0,879	0,885	0,891	0,897	0,902	0,908	0,914	0,919	0,925	0,930	0,934	0,938	0,941	0,944	0,947	0,948	0,948	0,948	0,948	0,948	0,948	0,948
